text,label
"Hola, ¿podemos encontrarnos en algún lugar privado?",1
"¡Hola! ¿Cómo estás hoy?",0
"¿Puedes enviarme una foto?",1
"¡Qué bueno saberlo!",0
"Quiero mantener esto en secreto. Hablemos en otra aplicación",1
"¡Que tengas un buen día!",0
"¿Cuántos años tienes?",1
"¿Estás solo en casa?",1
"Me gustaría conocerte en persona",1
"¿Qué ropa llevas puesta?",1
"Hablemos de la escuela",0
"¿Quieres jugar un juego en línea?",0
"No le digas a tus padres sobre nuestra conversación",1
"¿Puedes guardar un secreto?",1
"Eres muy maduro para tu edad",1
"¿Qué hiciste hoy en la escuela?",0
"¿Tienes hermanos o hermanas?",0
"¿Cuál es tu película favorita?",0
"¿Te gustaría ir al cine conmigo?",1
"¿Puedes decirme dónde vives?",1
"¿Cuál es tu comida favorita?",0
"¿Tienes novio o novia?",1
"¿Quieres que seamos amigos especiales?",1
"¿Qué haces cuando estás aburrido?",0
"¿Puedes enviarme una foto de tu habitación?",1
